Volume,Abs
0.265169,0.315399
0.265999,0.315377
0.26683,0.315451
0.267661,0.315788
0.268491,0.316321
0.269322,0.31629
0.270153,0.31607
0.270983,0.316412
0.271814,0.315987
0.272645,0.315672
0.273475,0.315397
0.274306,0.315293
0.275137,0.31536
0.275967,0.314908
0.276798,0.31482
0.277629,0.315006
0.278459,0.314847
0.27929,0.314767
0.280121,0.315363
0.280951,0.316059
0.281782,0.316315
0.282613,0.316551
0.283443,0.317101
0.284274,0.317322
0.285105,0.317263
0.285935,0.317194
0.286766,0.31715
0.287597,0.317165
0.288427,0.31701
0.289258,0.317132
0.290089,0.317713
0.290919,0.318201
0.29175,0.318758
0.292581,0.319418
0.293411,0.319526
0.294242,0.319535
0.295073,0.319718
0.295903,0.320243
0.296734,0.320824
0.297565,0.320864
0.298395,0.321587
0.299226,0.321664
0.300057,0.321787
0.300887,0.321651
0.301718,0.321073
0.302549,0.321405
0.303379,0.32131
0.30421,0.320723
0.30504,0.320944
0.305871,0.320499
0.306702,0.319771
0.307533,0.319699
0.308363,0.320157
0.309194,0.319958
0.310024,0.320084
0.310855,0.320258
0.311686,0.32106
0.312516,0.320731
0.313347,0.321472
0.314178,0.322045
0.315009,0.321356
0.315839,0.320888
0.31667,0.321073
0.3175,0.32132
0.318331,0.321877
0.319162,0.322298
0.319992,0.322828
0.320823,0.322858
0.321654,0.322425
0.322484,0.321622
0.323315,0.32126
0.324146,0.321014
0.324976,0.321088
0.325807,0.320995
0.326638,0.321034
0.327468,0.321232
0.328299,0.322052
0.32913,0.322375
0.32996,0.322595
0.330791,0.322639
0.331622,0.322599
0.332452,0.322271
0.333283,0.321648
0.334114,0.321262
0.334944,0.321084
0.335775,0.320958
0.336606,0.320756
0.337436,0.320574
0.338267,0.320905
0.339098,0.321345
0.339928,0.320918
0.340759,0.321085
0.34159,0.321608
0.34242,0.322004
0.343251,0.322459
0.344082,0.322746
0.344912,0.32269
0.345743,0.322353
0.346574,0.322526
0.347404,0.322858
0.348235,0.322667
0.349066,0.323243
0.349896,0.322961
0.350727,0.323053
0.351558,0.323479
0.352388,0.323486
0.353219,0.323574
0.35405,0.324319
0.35488,0.323972
0.355711,0.323702
0.356542,0.324689
0.357372,0.325882
0.358203,0.325739
0.359034,0.325785
0.359864,0.325426
0.360695,0.325411
0.361526,0.325255
0.362356,0.326386
0.363187,0.327077
0.364018,0.328077
0.364848,0.328781
0.365679,0.328751
0.36651,0.327994
0.36734,0.32777
0.368171,0.328137
0.369002,0.328636
0.369832,0.328487
0.370663,0.328415
0.371494,0.328827
0.372324,0.329244
0.373155,0.329971
0.373986,0.330046
0.374816,0.331047
0.375647,0.331289
0.376478,0.331803
0.377308,0.331789
0.378139,0.332431
0.37897,0.333
0.3798,0.332565
0.380631,0.332274
0.381462,0.333526
0.382292,0.334614
0.383123,0.334389
0.383954,0.334168
0.384784,0.334562
0.385615,0.33522
0.386446,0.334701
0.387276,0.335235
0.388107,0.335077
0.388938,0.335485
0.389768,0.336627
0.390599,0.336708
0.39143,0.336912
0.39226,0.337118
0.393091,0.336933
0.393921,0.337137
0.394752,0.336953
0.395583,0.336905
0.396414,0.337135
0.397244,0.337617
0.398075,0.337717
0.398906,0.337586
0.399736,0.338237
0.400567,0.33825
0.401397,0.338253
0.402228,0.338271
0.403059,0.338214
0.40389,0.337884
0.40472,0.337757
0.405551,0.337594
0.406381,0.337314
0.407212,0.338062
0.408043,0.338499
0.408873,0.339589
0.409704,0.340046
0.410535,0.339673
0.411366,0.339656
0.412196,0.339507
0.413027,0.339726
0.413857,0.339938
0.414688,0.340266
0.415519,0.340344
0.416349,0.340072
0.41718,0.340704
0.418011,0.340963
0.418841,0.341415
0.419672,0.341825
0.420503,0.341423
0.421333,0.341408
0.422164,0.341781
0.422995,0.341543
0.423825,0.340882
0.424656,0.340702
0.425487,0.34085
0.426317,0.341018
0.427148,0.340647
0.427979,0.340764
0.428809,0.341154
0.42964,0.341237
0.430471,0.341054
0.431301,0.340397
0.432132,0.340393
0.432963,0.340408
0.433793,0.340475
0.434624,0.340693
0.435455,0.340609
0.436285,0.340479
0.437116,0.340551
0.437947,0.340474
0.438777,0.340305
0.439608,0.340206
0.440439,0.340228
0.441269,0.339714
0.4421,0.339695
0.442931,0.33949
0.443761,0.339141
0.444592,0.339123
0.445423,0.338503
0.446253,0.338225
0.447084,0.338371
0.447915,0.338524
0.448745,0.338321
0.449576,0.338604
0.450407,0.338059
0.451237,0.337851
0.452068,0.338096
0.452899,0.33818
0.453729,0.338408
0.45456,0.337618
0.455391,0.33685
0.456221,0.336296
0.457052,0.335897
0.457883,0.335296
0.458713,0.334127
0.459544,0.333394
0.460375,0.333451
0.461205,0.333243
0.462036,0.333449
0.462867,0.334173
0.463697,0.334418
0.464528,0.334054
0.465359,0.333727
0.466189,0.333708
0.46702,0.333653
0.467851,0.333293
0.468681,0.333104
0.469512,0.333097
0.470343,0.332538
0.471173,0.332603
0.472004,0.332866
0.472835,0.333173
0.473665,0.333165
0.474496,0.333243
0.475327,0.333481
0.476157,0.333085
0.476988,0.332869
0.477819,0.332873
0.478649,0.332484
0.47948,0.332262
0.480311,0.331869
0.481141,0.331252
0.481972,0.330648
0.482803,0.330236
0.483633,0.329932
0.484464,0.329981
0.485295,0.330285
0.486125,0.330436
0.486956,0.33085
0.487787,0.330933
0.488617,0.330389
0.489448,0.329909
0.490278,0.329718
0.491109,0.329567
0.49194,0.329553
0.492771,0.329547
0.493601,0.32958
0.494432,0.329462
