Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.976921,-0.017977,-0.927947,9.386965,-0.535999,0,,,,,0.048978,-0.123475
-0.976168,-0.020746,-0.92644,9.386908,-0.528462,0,,,,,0.049731,-0.123473
-0.975415,-0.023813,-0.924933,9.386925,-0.520925,0,,,,,0.050485,-0.123471
-0.974661,-0.02794,-0.923426,9.386847,-0.513389,0,,,,,0.051238,-0.12347
-0.973907,-0.031985,-0.921919,9.386842,-0.505852,0,,,,,0.051992,-0.123468
-0.973154,-0.035824,-0.920412,9.386849,-0.498315,0,,,,,0.052745,-0.123466
-0.9724,-0.039656,-0.918905,9.386793,-0.490778,0,,,,,0.053499,-0.123465
-0.971647,-0.044167,-0.917398,9.386711,-0.483241,0,,,,,0.054252,-0.123463
-0.970893,-0.049237,-0.915891,9.386629,-0.475704,0,,,,,0.055006,-0.123462
-0.97014,-0.0539,-0.914384,9.386649,-0.468167,0,,,,,0.055759,-0.123461
-0.969386,-0.058564,-0.912877,9.386609,-0.46063,0,,,,,0.056513,-0.123459
-0.968633,-0.062823,-0.91137,9.386528,-0.453093,0,,,,,0.057266,-0.123458
-0.967879,-0.066481,-0.909863,9.386397,-0.445556,0,,,,,0.05802,-0.123456
-0.967126,-0.071369,-0.908356,9.386166,-0.438019,0,,,,,0.058773,-0.123455
-0.966372,-0.076152,-0.906849,9.386002,-0.430482,0,,,,,0.059527,-0.123454
-0.965619,-0.079562,-0.905342,9.385888,-0.422945,0,,,,,0.06028,-0.123452
-0.964865,-0.08299,-0.903835,9.385721,-0.415408,0,,,,,0.061034,-0.12345
-0.964112,-0.087336,-0.902328,9.385575,-0.407872,0,,,,,0.061787,-0.123448
-0.963358,-0.092436,-0.900821,9.385514,-0.400335,0,,,,,0.062541,-0.123446
-0.962605,-0.097855,-0.899314,9.385404,-0.392798,0,,,,,0.063294,-0.123444
