Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
-0.974181,-0.023762,-0.92268,16.451237,-0.510556,0,,,,,,,0.051501,-1.311795
-0.973351,-0.024476,-0.921019,16.451214,-0.502248,0,,,,,,,0.052332,-1.311795
-0.97252,-0.025734,-0.919358,16.451342,-0.493939,0,,,,,,,0.053162,-1.311795
-0.971689,-0.027056,-0.917696,16.451508,-0.485631,0,,,,,,,0.053993,-1.311795
-0.970859,-0.028425,-0.916035,16.451689,-0.477322,0,,,,,,,0.054824,-1.311795
-0.970028,-0.029425,-0.914374,16.451864,-0.469014,0,,,,,,,0.055654,-1.311795
-0.969197,-0.030166,-0.912712,16.452053,-0.460705,0,,,,,,,0.056485,-1.311795
-0.968367,-0.031027,-0.911051,16.452099,-0.452397,0,,,,,,,0.057316,-1.311795
-0.967536,-0.032232,-0.90939,16.452051,-0.444088,0,,,,,,,0.058146,-1.311795
-0.966705,-0.033563,-0.907728,16.452225,-0.43578,0,,,,,,,0.058977,-1.311795
-0.965875,-0.034755,-0.906067,16.452391,-0.427471,0,,,,,,,0.059808,-1.311795
-0.965044,-0.036215,-0.904406,16.452482,-0.419163,0,,,,,,,0.060638,-1.311795
-0.964213,-0.03736,-0.902744,16.45261,-0.410854,0,,,,,,,0.061469,-1.311795
-0.963383,-0.038211,-0.901083,16.452776,-0.402546,0,,,,,,,0.0623,-1.311795
-0.962552,-0.038508,-0.899422,16.452864,-0.394237,0,,,,,,,0.06313,-1.311795
-0.961721,-0.03875,-0.89776,16.453007,-0.385929,0,,,,,,,0.063961,-1.311795
-0.960891,-0.039689,-0.896099,16.453182,-0.37762,0,,,,,,,0.064792,-1.311795
-0.96006,-0.040536,-0.894438,16.453388,-0.369312,0,,,,,,,0.065622,-1.311795
-0.959229,-0.041066,-0.892776,16.453573,-0.361003,0,,,,,,,0.066453,-1.311795
-0.958399,-0.041776,-0.891115,16.453812,-0.352695,0,,,,,,,0.067284,-1.311795
-0.957568,-0.042484,-0.889454,16.453936,-0.344386,0,,,,,,,0.068114,-1.311795
-0.956738,-0.043046,-0.887792,16.454039,-0.336078,0,,,,,,,0.068945,-1.311795
-0.955907,-0.043844,-0.886131,16.454151,-0.327769,0,,,,,,,0.069776,-1.311795
