Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,mAU
-0.980632,-0.020138,-0.935784,9.382893,-0.577071,0,,,,,0.044842,-1.208363
-0.979952,-0.020424,-0.934425,9.382428,-0.570277,0,,,,,0.045521,-1.208363
-0.979273,-0.02077,-0.933066,9.381916,-0.563483,0,,,,,0.0462,-1.208363
-0.978593,-0.02114,-0.931708,9.381469,-0.556689,0,,,,,0.04688,-1.208363
-0.977914,-0.0228,-0.930349,9.381118,-0.549895,0,,,,,0.047559,-1.208363
-0.977235,-0.023464,-0.92899,9.380768,-0.543101,0,,,,,0.048239,-1.208363
-0.976555,-0.024114,-0.927631,9.380343,-0.536307,0,,,,,0.048918,-1.208363
-0.975876,-0.024125,-0.926272,9.379971,-0.529513,0,,,,,0.049597,-1.208363
-0.975196,-0.023647,-0.924913,9.379634,-0.522719,0,,,,,0.050277,-1.208363
-0.974517,-0.023882,-0.923554,9.379284,-0.515925,0,,,,,0.050956,-1.208363
-0.973838,-0.024491,-0.922195,9.378966,-0.509131,0,,,,,0.051636,-1.208363
-0.973158,-0.024842,-0.920836,9.378716,-0.502337,0,,,,,0.052315,-1.208363
-0.972479,-0.02533,-0.919477,9.37854,-0.495543,0,,,,,0.052994,-1.208363
-0.971799,-0.025998,-0.918118,9.378261,-0.488749,0,,,,,0.053674,-1.208363
-0.97112,-0.026676,-0.916759,9.378002,-0.481955,0,,,,,0.054353,-1.208363
-0.970441,-0.026992,-0.915401,9.377797,-0.475161,0,,,,,0.055033,-1.208363
-0.969761,-0.027949,-0.914042,9.377617,-0.468367,0,,,,,0.055712,-1.208363
-0.969082,-0.028222,-0.912683,9.377406,-0.461573,0,,,,,0.056392,-1.208363
-0.968402,-0.028464,-0.911324,9.377295,-0.454779,0,,,,,0.057071,-1.208363
-0.967723,-0.029066,-0.909965,9.37722,-0.447985,0,,,,,0.05775,-1.208363
-0.967043,-0.02958,-0.908606,9.377092,-0.441191,0,,,,,0.05843,-1.208363
-0.966364,-0.030254,-0.907247,9.376957,-0.434397,0,,,,,0.059109,-1.208363
-0.965685,-0.030543,-0.905888,9.37686,-0.427603,0,,,,,0.059789,-1.208363
-0.965005,-0.030537,-0.904529,9.376776,-0.42081,0,,,,,0.060468,-1.208363
-0.964326,-0.030503,-0.90317,9.376625,-0.414016,0,,,,,0.061147,-1.208363
-0.963646,-0.030646,-0.901811,9.376533,-0.407222,0,,,,,0.061827,-1.208363
-0.962967,-0.030232,-0.900452,9.376519,-0.400428,0,,,,,0.062506,-1.208363
-0.962287,-0.029509,-0.899093,9.376547,-0.393634,0,,,,,0.063186,-1.208363
-0.961608,-0.0276,-0.897734,9.37652,-0.38684,0,,,,,0.063865,-1.208363
-0.960929,-0.026307,-0.896376,9.376505,-0.380046,0,,,,,0.064545,-1.208363
-0.960249,-0.026491,-0.895017,9.376489,-0.373252,0,,,,,0.065224,-1.208363
-0.95957,-0.026264,-0.893658,9.376537,-0.366458,0,,,,,0.065903,-1.208363
-0.95889,-0.026583,-0.892299,9.376624,-0.359664,0,,,,,0.066583,-1.208363
-0.958211,-0.026361,-0.89094,9.376686,-0.35287,0,,,,,0.067262,-1.208363
-0.957532,-0.025553,-0.889581,9.376705,-0.346076,0,,,,,0.067942,-1.208363
-0.956852,-0.024446,-0.888222,9.376663,-0.339282,0,,,,,0.068621,-1.208363
-0.956173,-0.023545,-0.886863,9.37671,-0.332488,0,,,,,0.069301,-1.208363
-0.955493,-0.0229,-0.885504,9.376801,-0.325694,0,,,,,0.06998,-1.208363
-0.954814,-0.022201,-0.884145,9.376883,-0.3189,0,,,,,0.070659,-1.208363
-0.954134,-0.021574,-0.882786,9.376934,-0.312106,0,,,,,0.071339,-1.208363
-0.953455,-0.021037,-0.881427,9.376936,-0.305312,0,,,,,0.072018,-1.208363
-0.952776,-0.020566,-0.880068,9.376974,-0.298518,0,,,,,0.072698,-1.208363
-0.952096,-0.020477,-0.87871,9.377034,-0.291724,0,,,,,0.073377,-1.208363
-0.951417,-0.02004,-0.877351,9.377115,-0.28493,0,,,,,0.074056,-1.208363
-0.950737,-0.01895,-0.875992,9.377209,-0.278136,0,,,,,0.074736,-1.208363
-0.950058,-0.017634,-0.874633,9.377271,-0.271342,0,,,,,0.075415,-1.208363
-0.949379,-0.016459,-0.873274,9.377268,-0.264548,0,,,,,0.076095,-1.208363
-0.948699,-0.015187,-0.871915,9.377309,-0.257754,0,,,,,0.076774,-1.208363
-0.94802,-0.01321,-0.870556,9.377393,-0.25096,0,,,,,0.077453,-1.208363
-0.94734,-0.011753,-0.869197,9.377504,-0.244166,0,,,,,0.078133,-1.208363
-0.946661,-0.01073,-0.867838,9.377618,-0.237372,0,,,,,0.078812,-1.208363
-0.945982,-0.009752,-0.866479,9.377671,-0.230578,0,,,,,0.079492,-1.208363
-0.945302,-0.008356,-0.86512,9.377686,-0.223784,0,,,,,0.080171,-1.208363
-0.944623,-0.007413,-0.863761,9.377714,-0.21699,0,,,,,0.080851,-1.208363
-0.943943,-0.006249,-0.862402,9.377779,-0.210196,0,,,,,0.08153,-1.208363
-0.943264,-0.004565,-0.861044,9.377868,-0.203402,0,,,,,0.082209,-1.208363
-0.942584,-0.002042,-0.859685,9.37789,-0.196608,0,,,,,0.082889,-1.208363
-0.941905,0.001191,-0.858326,9.3779,-0.189814,0,,,,,0.083568,-1.208363
-0.941226,0.003591,-0.856967,9.377982,-0.18302,0,,,,,0.084248,-1.208363
-0.940546,0.004957,-0.855608,9.378046,-0.176226,0,,,,,0.084927,-1.208363
-0.939867,0.00623,-0.854249,9.378077,-0.169432,0,,,,,0.085606,-1.208363
-0.939187,0.007386,-0.85289,9.378166,-0.162638,0,,,,,0.086286,-1.208363
-0.938508,0.00852,-0.851531,9.378286,-0.155845,0,,,,,0.086965,-1.208363
-0.937828,0.009938,-0.850172,9.378386,-0.149051,0,,,,,0.087645,-1.208363
-0.937149,0.011462,-0.848813,9.378467,-0.142257,0,,,,,0.088324,-1.208363
-0.93647,0.013712,-0.847454,9.378539,-0.135463,0,,,,,0.089004,-1.208363
-0.93579,0.015254,-0.846095,9.378595,-0.128669,0,,,,,0.089683,-1.208363
-0.935111,0.01634,-0.844736,9.378717,-0.121875,0,,,,,0.090362,-1.208363
-0.934431,0.017573,-0.843378,9.378859,-0.115081,0,,,,,0.091042,-1.208363
-0.933752,0.017642,-0.842019,9.379006,-0.108287,0,,,,,0.091721,-1.208363
-0.933073,0.018411,-0.84066,9.379169,-0.101493,0,,,,,0.092401,-1.208363
-0.932393,0.019057,-0.839301,9.379352,-0.094699,0,,,,,0.09308,-1.208363
-0.931714,0.019851,-0.837942,9.379423,-0.087905,0,,,,,0.09376,-1.208363
-0.931034,0.020961,-0.836583,9.379549,-0.081111,0,,,,,0.094439,-1.208363
-0.930355,0.022162,-0.835224,9.379651,-0.074317,0,,,,,0.095118,-1.208363
-0.929675,0.02318,-0.833865,9.379727,-0.067523,0,,,,,0.095798,-1.208363
-0.928996,0.023834,-0.832506,9.379784,-0.060729,0,,,,,0.096477,-1.208363
-0.928317,0.025275,-0.831147,9.379825,-0.053935,0,,,,,0.097157,-1.208363
-0.927637,0.027229,-0.829788,9.379882,-0.047141,0,,,,,0.097836,-1.208363
-0.926958,0.028586,-0.828429,9.379983,-0.040347,0,,,,,0.098515,-1.208363
-0.926278,0.030191,-0.82707,9.380059,-0.033553,0,,,,,0.099195,-1.208363
-0.925599,0.031818,-0.825712,9.380116,-0.026759,0,,,,,0.099874,-1.208363
-0.92492,0.033287,-0.824353,9.38017,-0.019965,0,,,,,0.100554,-1.208363
-0.92424,0.034545,-0.822994,9.380059,-0.013171,0,,,,,0.101233,-1.208363
-0.923561,0.035689,-0.821635,9.38004,-0.006377,0,,,,,0.101912,-1.208363
-0.922881,0.037312,-0.820276,9.380009,0.000417,0,,,,,0.102592,-1.208363
-0.922202,0.038496,-0.818917,9.380006,0.007211,0,,,,,0.103271,-1.208363
-0.921522,0.039149,-0.817558,9.380058,0.014005,0,,,,,0.103951,-1.208363
-0.920843,0.039668,-0.816199,9.380137,0.020799,0,,,,,0.10463,-1.208363
-0.920164,0.040005,-0.81484,9.380275,0.027593,0,,,,,0.10531,-1.208363
-0.919484,0.039002,-0.813481,9.380358,0.034387,0,,,,,0.105989,-1.208363
-0.918805,0.039905,-0.812122,9.380399,0.041181,0,,,,,0.106668,-1.208363
-0.918125,0.040732,-0.810763,9.380415,0.047975,0,,,,,0.107348,-1.208363
-0.917446,0.041846,-0.809404,9.380414,0.054769,0,,,,,0.108027,-1.208363
